iters pop mut scross cross algo min_time max_time avg_time min_res max_res avg_res
10 10 0.001 0.1 0.001 0 0.0087805 0.0330802 0.010205892 550 2050 1151.5
10 10 0.001 0.1 0.001 1 0.0084166 0.0129878 0.00862587 650 2950 1587.5
10 10 0.001 0.1 0.005 0 0.0087831 0.0099125 0.008976401 450 2050 1224.5
10 10 0.001 0.1 0.005 1 0.0084085 0.0091132 0.008575742 750 3000 1683.5
10 10 0.001 0.1 0.01 0 0.0087784 0.0096264 0.008951805 500 1950 1126
10 10 0.001 0.1 0.01 1 0.0084234 0.0094712 0.008590474 600 3350 1687
10 10 0.001 0.1 0.05 0 0.0087822 0.0094973 0.008952541 450 2150 1224
10 10 0.001 0.1 0.05 1 0.0084157 0.0093933 0.008579702 600 3050 1605.5
10 10 0.001 0.1 0.1 0 0.0087852 0.009558 0.008950486 450 2350 1165
10 10 0.001 0.1 0.1 1 0.0084114 0.0092556 0.008602447 650 3050 1617.5
10 10 0.005 0.1 0.001 0 0.0087792 0.0103025 0.009000675 450 2250 1095.5
10 10 0.005 0.1 0.001 1 0.008417 0.0092843 0.008606478 650 2700 1577.5
10 10 0.005 0.1 0.005 0 0.0087767 0.009806 0.008982254 550 2250 1154
10 10 0.005 0.1 0.005 1 0.0084226 0.0094002 0.008596194 750 3200 1642.5
10 10 0.005 0.1 0.01 0 0.0087809 0.0096841 0.008982034 250 1900 1143
10 10 0.005 0.1 0.01 1 0.0084234 0.0092492 0.008603589 550 3200 1531
10 10 0.005 0.1 0.05 0 0.0087754 0.010211 0.008961829 600 2200 1213
10 10 0.005 0.1 0.05 1 0.0084106 0.0092505 0.00857094400000001 400 2850 1545
10 10 0.005 0.1 0.1 0 0.0087844 0.0096457 0.008954433 500 2100 1132.5
10 10 0.005 0.1 0.1 1 0.0084307 0.009363 0.008588665 550 3100 1601
10 10 0.01 0.1 0.001 0 0.0087826 0.0095139 0.008948763 500 2850 1207
10 10 0.01 0.1 0.001 1 0.0084482 0.0099497 0.008979553 650 3400 1614.5
10 10 0.01 0.1 0.005 0 0.0090687 0.0105711 0.009429995 300 2250 1160
10 10 0.01 0.1 0.005 1 0.0084516 0.0097226 0.00893343999999999 650 3150 1480
10 10 0.01 0.1 0.01 0 0.0087745 0.0097008 0.008990398 400 2450 1151.5
10 10 0.01 0.1 0.01 1 0.0084315 0.0091243 0.008595472 750 3450 1643
10 10 0.01 0.1 0.05 0 0.0087797 0.0099052 0.009023694 500 2000 1160.5
10 10 0.01 0.1 0.05 1 0.0084401 0.0101635 0.008970762 600 2700 1498.5
10 10 0.01 0.1 0.1 0 0.0087865 0.0096285 0.008955718 500 2400 1171.5
10 10 0.01 0.1 0.1 1 0.008426 0.0090623 0.008590936 550 3700 1551.5
10 10 0.05 0.1 0.001 0 0.0087732 0.0110826 0.008972173 500 2150 1192
10 10 0.05 0.1 0.001 1 0.0084401 0.0097325 0.008900838 700 3450 1516
10 10 0.05 0.1 0.005 0 0.0089306 0.0100113 0.009381823 300 2600 1162
10 10 0.05 0.1 0.005 1 0.0084256 0.0097727 0.008700438 650 2650 1459.5
10 10 0.05 0.1 0.01 0 0.0087758 0.0101079 0.009141722 500 2300 1203
10 10 0.05 0.1 0.01 1 0.0085842 0.0098419 0.009008813 500 3050 1430.5
10 10 0.05 0.1 0.05 0 0.0089845 0.0102213 0.00934822 500 2200 1128.5
10 10 0.05 0.1 0.05 1 0.0084123 0.0096636 0.008762496 400 2600 1396.5
10 10 0.05 0.1 0.1 0 0.0087647 0.0094515 0.00893973699999999 400 2200 1240
10 10 0.05 0.1 0.1 1 0.0084315 0.0091876 0.008582722 650 3150 1432.5
10 10 0.1 0.1 0.001 0 0.0087908 0.0096662 0.008954355 550 2200 1217.5
10 10 0.1 0.1 0.001 1 0.0084328 0.0091072 0.008592298 400 2300 1413.5
10 10 0.1 0.1 0.005 0 0.0087886 0.0099784 0.00896267 550 2900 1140.5
10 10 0.1 0.1 0.005 1 0.0084358 0.009138 0.008590208 600 3100 1505.5
10 10 0.1 0.1 0.01 0 0.0087985 0.0097684 0.008967856 550 2000 1171
10 10 0.1 0.1 0.01 1 0.008432 0.0091004 0.008596741 500 2800 1443.5
10 10 0.1 0.1 0.05 0 0.0087976 0.0095734 0.008966694 450 2200 1148.5
10 10 0.1 0.1 0.05 1 0.008429 0.0090807 0.008589298 400 2500 1430
10 10 0.1 0.1 0.1 0 0.0088027 0.0101935 0.008972155 450 1900 1159
10 10 0.1 0.1 0.1 1 0.0084333 0.0091624 0.008593472 650 2750 1448
10 20 0.001 0.1 0.001 0 0.0090268 0.0104873 0.009360992 350 1500 877.5
10 20 0.001 0.1 0.001 1 0.0090405 0.009945 0.009324968 500 2050 1226.5
10 20 0.001 0.1 0.005 0 0.0091996 0.0108067 0.009664171 350 1350 882
10 20 0.001 0.1 0.005 1 0.0088904 0.010344 0.009337685 500 2150 1243
10 20 0.001 0.1 0.01 0 0.0090149 0.0105553 0.009362222 300 1550 873.5
10 20 0.001 0.1 0.01 1 0.0087382 0.0109551 0.008985074 650 2150 1293.5
10 20 0.001 0.1 0.05 0 0.0090256 0.0097483 0.009211729 300 1500 843
10 20 0.001 0.1 0.05 1 0.0087621 0.0111587 0.009301589 550 2050 1224
10 20 0.001 0.1 0.1 0 0.0090273 0.0104201 0.009422492 250 1550 880.5
10 20 0.001 0.1 0.1 1 0.0087339 0.0101191 0.009076541 600 2150 1243.5
10 20 0.005 0.1 0.001 0 0.0090127 0.0158278 0.009544911 300 1450 817.5
10 20 0.005 0.1 0.001 1 0.0087442 0.0176847 0.01071171 450 2150 1262
10 20 0.005 0.1 0.005 0 0.0122013 0.023464 0.015296909 350 1650 850.5
10 20 0.005 0.1 0.005 1 0.0121739 0.0209763 0.013241565 400 2050 1243
10 20 0.005 0.1 0.01 0 0.0125939 0.0147728 0.013016396 300 1400 832.5
10 20 0.005 0.1 0.01 1 0.0087429 0.0129775 0.011693521 600 2050 1289.5
10 20 0.005 0.1 0.05 0 0.0090294 0.0107152 0.009361879 350 1650 815
10 20 0.005 0.1 0.05 1 0.0087395 0.0119122 0.009050482 550 2100 1252.5
10 20 0.005 0.1 0.1 0 0.0090388 0.015023 0.009640038 300 1300 828.5
10 20 0.005 0.1 0.1 1 0.0087801 0.0166946 0.010003881 600 2300 1233
10 20 0.01 0.1 0.001 0 0.0092176 0.0214313 0.01297303 350 1650 855
10 20 0.01 0.1 0.001 1 0.0116898 0.0211649 0.0128303 650 2000 1235.5
10 20 0.01 0.1 0.005 0 0.0090619 0.01374 0.010851143 300 1500 838
10 20 0.01 0.1 0.005 1 0.0087664 0.013731 0.009209586 600 2600 1216.5
10 20 0.01 0.1 0.01 0 0.0090739 0.0177043 0.012313381 400 1300 887.5
10 20 0.01 0.1 0.01 1 0.011751 0.0156777 0.012644764 450 2200 1213
10 20 0.01 0.1 0.05 0 0.0090961 0.0144033 0.012204323 450 1250 841.5
10 20 0.01 0.1 0.05 1 0.0087869 0.0108623 0.009458513 400 2400 1240.5
10 20 0.01 0.1 0.1 0 0.0090529 0.0134103 0.010917552 400 1350 807
10 20 0.01 0.1 0.1 1 0.0117394 0.0169324 0.012286762 350 1850 1173.5
10 20 0.05 0.1 0.001 0 0.0093176 0.0189462 0.012570502 400 1500 867
10 20 0.05 0.1 0.001 1 0.0088887 0.0202395 0.014187857 400 1800 1186
10 20 0.05 0.1 0.005 0 0.0125191 0.0216883 0.015866342 300 3400 864.5
10 20 0.05 0.1 0.005 1 0.0127175 0.0185682 0.015447035 500 1950 1154
10 20 0.05 0.1 0.01 0 0.0092197 0.0266542 0.015872203 450 1800 905
10 20 0.05 0.1 0.01 1 0.0123912 0.0220997 0.016395523 500 1800 1137.5
10 20 0.05 0.1 0.05 0 0.013291 0.033542 0.015539068 150 1350 895
10 20 0.05 0.1 0.05 1 0.0128261 0.0218936 0.014041166 300 2150 1175
10 20 0.05 0.1 0.1 0 0.012632 0.0185532 0.013887101 350 1700 811.5
10 20 0.05 0.1 0.1 1 0.0116804 0.017609 0.012628467 600 1900 1154
10 20 0.1 0.1 0.001 0 0.0090563 0.0138285 0.009704186 350 1500 867
10 20 0.1 0.1 0.001 1 0.0087677 0.0185549 0.011580682 400 1700 1067
10 20 0.1 0.1 0.005 0 0.0121889 0.0199867 0.013119956 300 1600 893
10 20 0.1 0.1 0.005 1 0.0087788 0.0134868 0.010587559 400 2000 1157
10 20 0.1 0.1 0.01 0 0.0090499 0.0109615 0.009294768 300 1550 818.5
10 20 0.1 0.1 0.01 1 0.0087523 0.010539 0.009245542 300 1850 1070
10 20 0.1 0.1 0.05 0 0.0091624 0.0103166 0.009675829 250 1550 860
10 20 0.1 0.1 0.05 1 0.0088823 0.0100468 0.009363023 500 1950 1119
10 20 0.1 0.1 0.1 0 0.0091911 0.0110886 0.009687594 200 1300 871
10 20 0.1 0.1 0.1 1 0.0088742 0.0101126 0.009370362 450 1800 1101.5
10 50 0.001 0.1 0.001 0 0.0097671 0.0109872 0.010234309 350 1150 720
10 50 0.001 0.1 0.001 1 0.0096106 0.0108687 0.01009172 450 1550 1047
10 50 0.001 0.1 0.005 0 0.0097615 0.0110898 0.010291689 300 1150 685.5
10 50 0.001 0.1 0.005 1 0.0095862 0.0106814 0.010120834 300 1750 1038
10 50 0.001 0.1 0.01 0 0.0096217 0.0132777 0.010252068 200 1050 635.5
10 50 0.001 0.1 0.01 1 0.0094819 0.0123309 0.01021829 400 1650 1022
10 50 0.001 0.1 0.05 0 0.0095978 0.0124686 0.010023009 250 1100 671
10 50 0.001 0.1 0.05 1 0.0094583 0.0102747 0.009664508 400 1650 1030.5
10 50 0.001 0.1 0.1 0 0.0095995 0.0106446 0.009804217 300 1050 682
10 50 0.001 0.1 0.1 1 0.0094729 0.0103662 0.009671036 550 1550 1035
10 50 0.005 0.1 0.001 0 0.0096179 0.010885 0.010003778 350 950 639
10 50 0.005 0.1 0.001 1 0.0094669 0.0106417 0.009783098 300 1650 995
10 50 0.005 0.1 0.005 0 0.0095841 0.0104283 0.00981807499999999 150 1150 674.5
10 50 0.005 0.1 0.005 1 0.0094476 0.0111523 0.009730255 550 1700 1040.5
10 50 0.005 0.1 0.01 0 0.009599 0.014922 0.010211589 300 1050 666
10 50 0.005 0.1 0.01 1 0.0094682 0.0108503 0.009803868 500 1500 976.5
10 50 0.005 0.1 0.05 0 0.0098445 0.0110791 0.010283489 100 1100 662.5
10 50 0.005 0.1 0.05 1 0.0095054 0.0119276 0.010231021 150 1600 995.5
10 50 0.005 0.1 0.1 0 0.009611 0.0130378 0.010106552 300 1000 689.5
10 50 0.005 0.1 0.1 1 0.0094776 0.01077 0.009802707 400 1450 964
10 50 0.01 0.1 0.001 0 0.0096871 0.0219484 0.014051625 350 1000 688
10 50 0.01 0.1 0.001 1 0.012747 0.0218363 0.014233404 350 1600 1001
10 50 0.01 0.1 0.005 0 0.0097196 0.0199688 0.013180778 150 1150 659.5
10 50 0.01 0.1 0.005 1 0.0126461 0.0163692 0.013164274 500 1550 1005.5
10 50 0.01 0.1 0.01 0 0.0096093 0.0154125 0.01141446 300 1900 694
10 50 0.01 0.1 0.01 1 0.0094361 0.0128154 0.00975756 400 1550 1003.5
10 50 0.01 0.1 0.05 0 0.0095901 0.0109906 0.009844149 300 1100 676
10 50 0.01 0.1 0.05 1 0.0094733 0.0119152 0.00979329 450 1600 996
10 50 0.01 0.1 0.1 0 0.0095828 0.012933 0.009873649 300 1100 685
10 50 0.01 0.1 0.1 1 0.0094981 0.0135796 0.010618623 350 1400 967
10 50 0.05 0.1 0.001 0 0.0128616 0.0154228 0.013222193 300 1000 657.5
10 50 0.05 0.1 0.001 1 0.0095178 0.0205012 0.012845711 400 1550 896
10 50 0.05 0.1 0.005 0 0.0096226 0.0114375 0.009890035 300 950 639.5
10 50 0.05 0.1 0.005 1 0.0095037 0.0115603 0.009756175 550 1350 939
10 50 0.05 0.1 0.01 0 0.0096191 0.0119383 0.009867559 350 1250 669.5
10 50 0.05 0.1 0.01 1 0.0095058 0.0102007 0.009680936 350 1500 905.5
10 50 0.05 0.1 0.05 0 0.0096076 0.0106639 0.009890292 300 1150 664
10 50 0.05 0.1 0.05 1 0.0094968 0.0100665 0.00967230999999999 350 1350 888
10 50 0.05 0.1 0.1 0 0.0097466 0.0111018 0.010301244 300 1200 701.5
